source,author,date,text,sentiment_label,sentiment_score,has_action_keywords,keyword_count,engagement
facebook,unknown,1767785286.0,"Saya kwatir, jika pilkada langsung ditiadakan dan DPRD memilih kepala daerah, kedaulatan itu hanya ada di ketua partai politik. Mereka akan seperti penjajah Eropa dulu, membagi dan mengkapling daerah kekuasaan. Mereka akan mengontrol semua SDA dan kekayaan negara ini. pilkadalangsung pilkadadprd kedaulatanrakyat reformasi Komsos Keuskupan Sibolga",Negatif,0.9893787503242492,True,2,21.0
facebook,unknown,1767797425.0,"Menko Yusril: Pemilu 2029 Ikut Arahan Mahkamah Konstitusi, Tidak Ada Istilah Pilkada TRIBUNNEWS.COM, JAKARTA - Menteri Koordinator Bidang Hukum, HAM, Imigrasi, dan Pemasyarakatan Yusril Ihza Mahendra menyebut pemerintah harus menyiapkan mekanisme Pemilu 2029 sesuai dengan putusan Mahkamah Konstitusi (MK). Dengan mekanisme itu, tidak akan ada lagi istilah pemilihan kepala daerah atau pilkada. Namun begitu, hingga saat ini Yusril masih belum mendapat gambaran jelas terkait mekanisme pemilu mendatang. Terkait mengalirnya wacana proses pilkada dipilih DPRD, Yursil menyebut hal tersebut masih berkembang. Apa putusan MK? Sebagai informasi, melalui Putusan Nomor 135/PUU-XXII/2024 menetapkan pemilu nasional (presiden, DPR, dan DPRD) dan pemilu daerah (pilkada, DPRD) harus dipisah dengan jarak waktu minimal dua tahun dan maksimal 2,5 tahun setelah pelantikan pejabat nasional. Isi Putusan MK tentang Pemilu Dipisah Format baru Pemilu 2029: Pemilu Nasional: mencakup pemilihan Presiden/Wakil Presiden, anggota DPR RI, dan anggota DPD. Pemilu Daerah: mencakup pemilihan kepala daerah (gubernur, bupati, wali kota) serta DPRD provinsi/kabupaten/kota. Alasan MK: Pemilu serentak lima kotak (2019 dan 2024) menimbulkan beban berat bagi pemilih, partai politik, dan penyelenggara pemilu. Isu pembangunan daerah tenggelam oleh dominasi isu nasional. Pemilih berpotensi jenuh karena harus memilih banyak calon sekaligus. Kualitas demokrasi dinilai menurun karena fokus lebih pada isu nasional daripada lokal. Jadwal baru: Pemilu nasional dan daerah tetap serentak dalam jenisnya, tetapi dilaksanakan terpisah. Jarak waktu antara keduanya ditetapkan paling singkat 2 tahun dan paling lama 2,5 tahun setelah pelantikan DPR, DPD, atau Presiden/Wakil Presiden",Netral,0.9920812845230104,True,4,1235.0
facebook,unknown,1767870825.0,"Saya sangat setuju dan mendukung penuh wacana pemerintah terkait pemilihan kepala daerah oleh DPRD pada 2029 mendatang. Menurut keyakinan saya, ini merupakan suatu terobosan yang luar biasa maju. Nampaknya kebijakan ini memang akan segera terealisasi. Banyak dari partai politik dan para elite sudah menyatakan dukungan. Alasannya pun mulia: lebih efisien dan hemat anggaran. Mirip seperti proyek MBG yang berhasil “menghemat” anggaran, hanya sekitar Rp1,2 triliun per hari. Sangat hemat, bukan? ******* Kita semua tentu paham, harga untuk menduduki satu kursi wakil rakyat tidaklah murah. Nilainya bisa mencapai miliaran, bahkan triliunan rupiah. Muslim Ayub, DPR RI dari Fraksi NasDem pun membenarkan hal itu. Katanya, “Biaya kontestasi politik minimal Rp20 miliar ke atas. Belum balik modal, masa jabatan lima tahun akan segera berakhir lagi... Jadi tidak salah kan kalau sepuluh tahun sekali?” imbuhnya... Menurut keyakinan saya, itu benar. Tidak salah sama sekali. Sekalian saja, mengapa tidak diajukan masa jabatan seumur hidup? Biar urusan balik modal tidak setengah-setengah. Lagipula, dengan pilkada melalui DPRD, jual beli jabatan dan perputaran kekuasaan bisa lebih rapi dan eksklusif, cukup beredar di lingkaran mereka sendiri. Tentunya, ini juga akan membuat segalanya lebih mudah diatur, lebih tertib, dan tidak merepotkan rakyat. Sebab pada akhirnya, rakyat memang kerap menjadi beban: beban kampanye, beban logistik, dan beban biaya politik yang sungguh memberatkan para pejabat kita. Maka dari itu, marilah kita berempati. Mengasihani mereka yang lelah menghadapi rakyatnya sendiri. Mari bersama-sama terus mendukung wacana pilkada dipilih oleh DPRD. Sekalian saja, dengan masa jabatan seumur hidup. Agar efisiensi anggaran politik benar-benar tercapai, dan rakyat tak perlu lagi repot dianggap penting. Kita cukup menjadi penonton terbaik kala elite sedang bermain kekuasaan. Kalau menurut kamu gimana ? . . . . ~A Baubau, 8 Januari 2026 Pilkada2029 PilkadaDPRD DemokrasiElit EfisiensiVersiElite JualBeliKekuasaan LingkaranMereka KuasaiKursi DemokrasiTanpaRakyat PemilihanpilkadaolehDPR Pilkada DPR",Positif,0.986807644367218,True,3,24.0
facebook,unknown,1767860049.0,"🏴‍☠️🤠⚠️ Wacana pengembalian mekanisme Pilkada ke DPRD bukan sekadar soal efisiensi biaya politik. Bagi Aceh, hal ini berisiko menggeser kendali demokrasi lokal ke tangan partai-partai pusat di Jakarta, mengancam otonomi dan aspirasi rakyat. Dampak Langsung terhadap Aceh Aceh yang memiliki sejarah panjang perjuangan demokrasi dan otonomi khusus berpotensi kehilangan suara dalam memilih pemimpin lokal. Kepala daerah bisa saja ditentukan oleh kesepakatan elit partai di ibu kota, bukan aspirasi rakyat Aceh. Risiko Relasi Kekuasaan Transaksional Pilkada DPRD berpotensi merubah relasi legislatif–eksekutif dari mekanisme checks and balances menjadi politik transaksi, di mana keputusan politik lebih bergantung pada kesepakatan elite daripada kepentingan publik.Krisis Legitimasi Data survei menunjukkan publik menolak perubahan mekanisme Pilkada tanpa mandat. Untuk Aceh, mengabaikan aspirasi rakyat bisa memicu ketidakpercayaan terhadap kepala daerah, konflik sosial, dan ketegangan politik baru. Pertimbangan Ekonomi vs. Demokrasi Klaim “efisiensi biaya politik” sering dijadikan alasan. Namun, kehilangan legitimasi dan partisipasi publik jauh lebih mahal daripada biaya Pilkada langsung. Demokrasi lokal adalah investasi politik yang tidak bisa digantikan dengan hitungan anggaran semata. Perubahan mekanisme Pilkada harus memperhatikan aspirasi rakyat Aceh. Tanpa suara publik, efisiensi politik akan menelan harga mahal berupa krisis legitimasi, pelemahan otonomi, dan maraknya politik transaksional. Aceh sedang memberi peringatan: demokrasi lokal tidak boleh dipangkas demi efisiensi anggaran atau kesepakatan elit pusat. fyp foto aceh pilkada dpr 👆👇👉",Negatif,0.9051510095596312,True,6,14.0
facebook,unknown,1767421880.0,"𝗧𝗼𝗹𝗮𝗸 𝗣𝗶𝗹𝗸𝗮𝗱𝗮 𝗟𝗲𝘄𝗮𝘁 𝗗𝗣𝗥𝗗 = 𝗣𝗲𝗹𝗶𝗵𝗮𝗿𝗮 𝗗𝗲𝗺𝗼𝗸𝗿𝗮𝘀𝗶 𝗠𝗮𝗵𝗮𝗹 𝗱𝗮𝗻 𝗞𝗼𝗿𝘂𝗽. (Husni Difinubun) JAYAPURA, Penolakan terhadap usulan pemilihan kepala daerah melalui DPRD semakin membuka wajah asli kelompok-kelompok yang selama ini diuntungkan oleh mahalnya demokrasi langsung. Usulan Ketua Umum Partai Golkar Bahlil Lahadalia jelas sah secara konstitusional, namun justru diserang oleh pihak-pihak yang tampak alergi terhadap upaya menekan biaya politik. Dukungan Partai Gerindra, Partai Amanat Nasional (PAN), dan Partai Kebangkitan Bangsa (PKB) memperlihatkan bahwa wacana ini bukan agenda sepihak, melainkan kesepakatan politik rasional demi menyelamatkan keuangan negara dan moral demokrasi. Kelompok penolak terus berteriak “kemunduran demokrasi” tanpa pernah menjawab fakta paling telanjang: Pilkada langsung adalah mesin pembakar uang. Anggaran negara terkuras, kandidat terjerat utang politik, dan rakyat dijadikan objek mobilisasi transaksional. Mereka yang menolak tidak pernah jujur menjelaskan, siapa sebenarnya yang diuntungkan dari sistem mahal ini? Lebih buruk lagi, Pilkada langsung telah melahirkan lingkaran setan korupsi. Kepala daerah terpilih sibuk mengembalikan modal, membayar sponsor politik, dan mengamankan jaringan pendukung. Inilah realitas yang terus disangkal oleh para penolak, seolah-olah menutup mata adalah bentuk keberpihakan pada demokrasi. Pemilihan melalui DPRD justru mengembalikan demokrasi ke jalur konstitusi. DPRD adalah lembaga representatif hasil pemilu rakyat. Menolak peran DPRD sama saja dengan merendahkan suara rakyat yang telah memilih wakilnya secara sah. Kelompok penolak kerap menjual narasi seakan rakyat akan kehilangan hak pilih. Ini adalah ketakutan buatan yang sengaja diproduksi untuk mempertahankan status quo. Hak politik rakyat tetap ada melalui pemilu legislatif. Yang dipangkas hanyalah biaya politik liar dan praktik transaksional. Ketua Umum Golkar Bahlil Lahadalia dengan lugas menyasar inti persoalan: demokrasi tidak boleh disandera oleh ongkos politik yang tidak masuk akal. Negara berhak dan wajib melakukan koreksi. Menolak koreksi ini berarti memelihara sistem rusak yang telah terbukti gagal. Dukungan Gerindra, PAN, dan PKB mempertegas bahwa pemerintah memiliki legitimasi politik yang kuat. Kini publik patut bertanya: apakah penolakan ini benar demi rakyat, atau demi kepentingan elite dan cukong politik? Sudah saatnya Indonesia berhenti dikendalikan oleh romantisme demokrasi mahal. Pilkada lewat DPRD adalah pilihan konstitusional, rasional, dan berani. Siapa pun yang menolak tanpa argumen jujur, patut dicurigai sedang mempertahankan ladang bisnis politik... PilkadaDPRD pilkada",Positif,0.8691596984863281,True,6,116.0
facebook,unknown,1767828446.0,Like untuk PDI Perjuangan Love untul Partai Pendukung Pilkada Bupati dan Gubernur di Pilih Anggota DPRD PilkadaLangsung PilkadaDPRD Rakyat DPRD,Netral,0.9964871406555176,True,2,21.0
facebook,unknown,1767792178.0,"Prabowo Usulkan Pilkada Dihapus dan Kepala Daerah Dipilih DPRD, Bukan Dipilih Rakyat, Pakar: Pertanda Orde Baru Hidup Kembali",Netral,0.9977917671203612,True,1,452.0
facebook,unknown,1767758428.0,"""JILAT LUDAH SENDIRI!"" Demokrat Putar Haluan Dukung Pilkada DPRD, Khianati SBY? 🤮 Demokrat SBY PilkadaDPRD JilatLudah KhianatiDemokrasi PartaiLabil KembaliKeOrba SuaraRakyatMahal ViralPolitik MenolakLupa Trending Netizen62 ReelsFB ViralIndonesia TrendingTopic BeritaTerkini InfoUpdate KabarTerbaru NetizenBersuara ViralHariIni InfoViral Warga62 Viral Fyp Reels VideoViral FacebookPro FypDong",Negatif,0.998233437538147,True,3,27.0
facebook,unknown,1767781870.0,Hasi survey LSI Denny JA: 66.1% menolak Pilkada ditentukan DPRD. Mayoritas penolak adalah milenial dan Gen Z. PilkadaDPRD news survey,Netral,0.9724701046943665,True,1,13.0
facebook,unknown,1767058032.0,"NasDem Buka Pintu Pilkada DPRD: Dinilai Sah Konstitusi dan Sejalan Nilai Pancasila JAKARTA, Framing NewsTV - Fraksi Partai NasDem DPR RI menegaskan bahwa pemilihan kepala daerah (pilkada) melalui Dewan Perwakilan Rakyat Daerah (DPRD) memiliki pijakan konstitusional yang kuat dan tidak bertentangan dengan prinsip demokrasi di Indonesia. Ketua Fraksi Partai NasDem DPR RI, Viktor Bungtilu Laiskodat, menyatakan bahwa Undang-Undang Dasar 1945 tidak membatasi demokrasi pada satu model pemilihan kepala daerah. “Konstitusi kita tidak mengunci demokrasi pada satu model. Pilkada melalui DPRD memiliki dasar konstitusional yang sah dan tetap berada dalam koridor demokrasi,” kata Viktor dalam keterangannya di Jakarta, Selasa. Demokrasi Perwakilan Tetap Konstitusional Viktor menjelaskan bahwa mekanisme pilkada melalui DPRD merupakan bentuk demokrasi perwakilan yang sah secara konstitusi. Menurutnya, perubahan mekanisme pemilihan kepala daerah bukan dimaksudkan untuk melemahkan demokrasi, melainkan menjaga agar demokrasi tetap sehat dan substansial. “Demokrasi yang hidup adalah demokrasi yang mampu beradaptasi, memperbaiki diri, dan tetap menjamin keterwakilan rakyat. Selama partisipasi, akuntabilitas, dan kontrol publik dijaga, demokrasi justru diperkuat,” ujarnya. Ia menegaskan bahwa demokrasi tidak boleh direduksi sekadar menjadi ritual elektoral lima tahunan, tetapi harus mampu melahirkan kepemimpinan daerah yang berintegritas dan efektif. Sejalan dengan Nilai Pancasila Lebih lanjut, Viktor menyebut gagasan pilkada melalui DPRD sejalan dengan nilai Pancasila, khususnya sila keempat tentang kerakyatan yang dipimpin oleh hikmat kebijaksanaan dalam permusyawaratan/perwakilan. Menurutnya, demokrasi Indonesia sejak awal dirancang tidak hanya sebagai demokrasi elektoral, tetapi juga demokrasi yang menempatkan musyawarah dan perwakilan sebagai fondasi utama pengambilan keputusan politik. “DPRD adalah lembaga perwakilan yang lahir dari mandat rakyat. Mekanisme pilkada melalui DPRD dapat menghadirkan kepemimpinan daerah yang lahir dari proses permusyawaratan dan tanggung jawab kolektif,” kata Viktor. Kasus Kepala Daerah Jadi Bahan Evaluasi Sistem Viktor juga menyinggung maraknya kasus hukum yang menjerat kepala daerah dalam beberapa waktu terakhir. Menurutnya, persoalan tersebut harus menjadi refleksi bersama untuk melakukan pembenahan sistem politik di tingkat daerah. “Kita tidak bisa hanya menuntut integritas individu, sementara sistem politiknya masih mahal, kompetitif secara tidak sehat, dan rentan mendorong penyalahgunaan kekuasaan,” tegasnya. Ajak Jaga Persatuan dan Stabilitas Politik NasDem menilai bahwa perbedaan pandangan terkait sistem pilkada merupakan hal yang wajar dalam demokrasi. Namun, Viktor mengingatkan agar perbedaan tersebut tidak berkembang menjadi polarisasi politik yang mengganggu persatuan nasional. “Perbedaan pandangan boleh ada, tapi jangan sampai mengganggu persatuan dan arah kemajuan bangsa,” ujarnya. Ia pun mengajak seluruh elemen bangsa untuk menyikapi wacana pilkada melalui DPRD dengan kejernihan nalar dan kedewasaan sikap, serta tetap berpegang pada nilai-nilai konstitusi sebagai pijakan bersama. “Demokrasi harus mampu menghasilkan kepemimpinan daerah yang stabil, bertanggung jawab, dan bebas dari tekanan sistemik yang menjauhkan kekuasaan dari kepentingan rakyat,” pungkas Viktor. nasdem pilkada dprd politiknasional ======== Sahabat Framing NewsTV, jangan lupa Like, Comment, Ikuti dan Share Facebook Framing NewsTV, serta aktifkan Lonceng Notifikasi agar tidak ketinggalan update isu-isu terkini di Indonesia.",Netral,0.9879063367843628,True,4,193.0
