video_id,comment_id,username,nickname,comment,create_time,likes,total_reply,avatar
7407686232605609232,,ellabening22,vayououtfit,apa iyaa😂😂,2025-08-31T12:43:10,0,0,https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/92ba33b4f30378126b562817ecd97410~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=ce99b394&x-expires=1768006800&x-signature=MMswifyVx3bRH3sjFCvFV07r7I8%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my
7407686232605609232,,noerlich,Nur solikhati,Iyo iyooo,2025-09-01T07:20:45,0,0,https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/c00fc04815067230252aead90fea8c40~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=0a536425&x-expires=1768006800&x-signature=OLDDxJvuyQdwGjxNezaY7aPYD3Y%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my
7407686232605609232,,agh1188,anakmedan94,🥰,2025-09-02T00:19:36,0,0,https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/70d713a104ef70b413c1dc2c0b422a7f~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=5a4a5a73&x-expires=1768006800&x-signature=o%2BcPaAFAVr2S%2F1ucxsVd8Es32pM%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my
7407686232605609232,,user477238780576,user477238780576,😁,2025-09-01T14:27:43,0,0,https://p16-sign-va.tiktokcdn.com/musically-maliva-obj/1594805258216454~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=004da1e6&x-expires=1768006800&x-signature=5Z6PStzrHwgd1Z0xlS8gc0x70AY%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my
7407686232605609232,,srisusisetiati,susi,😂,2025-08-31T13:22:47,0,0,https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/661c6d74d32bb684f7ddcb00d69b52bb~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=6f1caf6a&x-expires=1768006800&x-signature=y6aYrKnUb1kfpVAKBeRO2pdFZSk%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my
7407686232605609232,,ghazar1206,Tth Machaa... 💜,🤲,2025-08-31T11:57:17,0,0,https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/fcc0735063ac06d04dcb1407f84b29b9~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=a1385a68&x-expires=1768006800&x-signature=Xr0%2F7f0S3xCEcV%2FzkaOlFFLRkJE%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my
7407686232605609232,,cucuncahyani4,CC 💖,😁,2025-08-31T11:24:08,0,0,https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/15e06ba291f7364475f7fc135d325878~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=f87a6ecf&x-expires=1768006800&x-signature=BFh8auNaLrAE0mcdatxnlrlvm74%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my
7407686232605609232,,user7161079614159,Aik user7161079614159,@🤣🤣🤣,2025-08-31T10:58:34,0,0,https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/1582904792c4eb84c926f4bf5a87051e~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=82e0caa4&x-expires=1768006800&x-signature=Ljr0T1bzO6uSWkSO9ilBeH4z6YY%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my
7407686232605609232,,yaniz749,yani,👍👍,2025-08-31T09:07:30,0,0,https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/db71672e4987e0fe36dde50c050473c0~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=0e836238&x-expires=1768006800&x-signature=JUdlMkd9FqAjrmDDjKCL%2Bh2SITI%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my
7407686232605609232,,x_amel_,mel,😁,2025-08-31T05:21:28,0,0,https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/4785aef05b967820ba7d31967e11f577~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=70f70e52&x-expires=1768006800&x-signature=ldEmxZaLhsi0KN3z2563B8plleE%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my
7407686232605609232,,ginaronejune,Ginar,☺️,2025-08-31T00:45:00,0,0,https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/eb685eaa6391cffc314f5a85fe21211e~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=e879e5d8&x-expires=1768006800&x-signature=%2B5J4pv%2Bp%2BMWh04CkL3CS0aZ1HAI%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my
7407686232605609232,,user322158892,Scorpio,😳,2025-08-30T22:16:31,0,0,https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/3b0eb885c632715aff9dd310823d736a~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=ed8d9a1c&x-expires=1768006800&x-signature=j6FeijaoF1u6EoD8T2r7R3ZBeUQ%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my
7407686232605609232,,chaa.icaa5,cabe🌶🌶,😅😅😅,2025-08-30T10:39:37,0,0,https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/f38ae87715fcda1cfc7ce65fbe759722~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=9ce4fd13&x-expires=1768006800&x-signature=fQsYkkzSwHl5A6rRBmBHtHNJdoQ%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my
7407686232605609232,,_cumabadut1,DAMZfashion,👍,2025-08-30T06:54:00,0,0,https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/152619ebf430bd669c5585acba1208fb~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=2743b328&x-expires=1768006800&x-signature=u2qcpZfR9Hlp%2BjgGyPD%2BHNK4Ch4%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my
7407686232605609232,,weet_277,Weet_27,🥰,2025-08-30T01:39:47,0,0,https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/77803d2670961d3b4f7b2eda9aae181a~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=fbf77133&x-expires=1768006800&x-signature=t%2FmoGcFYanOrZQLa3AWgHb0sSMc%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my
7407686232605609232,,suhemah12,suhemah 12,🥰,2025-08-29T23:32:33,0,0,https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/6f3de25f2dfce66e92c972186b21e142~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=6a0f78bb&x-expires=1768006800&x-signature=a%2FETTsb7PP9h78IPQZuSMhGg9zk%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my
7407686232605609232,,faiz_balafif,faiz_balafif,🥰,2025-08-29T22:18:28,0,0,https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/d350523144388295f76a8c4567161da4~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=25c2edd5&x-expires=1768006800&x-signature=%2F1q2nVIzprfakqCsj9phuFrtKEw%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my
7407686232605609232,,kartika.484,Raeytea,😭,2025-08-28T20:57:12,0,0,https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/794f96de9dc59eda36cc350f58d7dd2b~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=86e3ae01&x-expires=1768006800&x-signature=g5WmuTnhQG4t%2BNXCiQQ8cuFvF5k%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my
7407686232605609232,,user080201011111,.,JANGAN MAU LAH ITU DI MANFAATKAN ANIS,2024-08-27T20:02:10,1,0,https://p19-common-sign-useastred.tiktokcdn-eu.com/tos-useast2a-avt-0068-giso/7069794215890255899~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=a6c7f699&x-expires=1768006800&x-signature=XRypKJBlCpVplnORM%2FQSSxoxcbM%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my
