video_id,comment_id,username,nickname,comment,create_time,likes,total_reply,avatar
7451974645374340369,,farid_bee,@kang led,kalau gubernur Jogja itu apa bukan dinasti ya dari dulu itu itu aja masih satu keturunan,2024-12-25T09:40:21,7,113,https://p19-common-sign-useastred.tiktokcdn-eu.com/tos-useast2a-avt-0068-giso/9487f860411cd20958b6d55cd689065e~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=7e15a5d0&x-expires=1767996000&x-signature=BH9%2BOpBunodf8NR1CHk1nCnCapY%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my2
7451974645374340369,,husen.efendi8,MH3,bapak ini mencari duit dengan cara mengkritik tapi tidak berguna buat negara,2024-12-25T20:34:38,12,70,https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/20f420d73c103ec3593ac54e7a517276~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=2d8843e3&x-expires=1767996000&x-signature=Niir%2BWPsYnR6bsI6TrRz9GXuRjk%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my2
7451974645374340369,,thamrinsinaga3,netizen 🫦🫦🫦🩷,"nanti bukan dinasti oranya, tapi denasti partai2 koalisi kim plus 😂😂",2026-01-07T20:37:59,0,0,https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/b858dd662425fcaf6c33d81afe11b2ba~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=e63a6061&x-expires=1767996000&x-signature=XDAqbonXsd8dzbac6uUsz9%2BekxQ%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my2
7451974645374340369,,alvaro.alwi,Adv B A,@Adv B A:Bangaimana jikalah pemilhan kepala daerah itu. di pilih melalui musyawara terbuka di desa. adapun kebijakan itu melalui 1 desa 1 hak suara. mungkin kan ini bisa mewujudkan jalur terbukaan di tengah masyarakat.. 😁😁😁,2026-01-08T11:05:55,0,0,https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/abe8d536bf8821fe9eaa450a7e0948bd~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=8108fe95&x-expires=1767996000&x-signature=y58a4bvvLUrqidlYm%2BZnt%2B3R1GU%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my2
7451974645374340369,,budi.arif33,Budi Arif,bg ray top banget argumennya,2024-12-25T00:24:05,406,6,https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/7372657436144074758~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=87097185&x-expires=1767996000&x-signature=7tVRh3VrUp06ugRa3DuCnOAraoI%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my2
7451974645374340369,,sbancin1,bancin,sekarang ray rangkuti yg paling berani bersuara,2024-12-25T10:43:40,412,13,https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/e161cab2f4c3b974f2f6c384e27db838~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=d9203a9a&x-expires=1767996000&x-signature=5ndXdjh3Znknqlhaeicf%2FP4hU4A%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my2
7451974645374340369,,bona.jaya6,Bona Jaya,"apa beda nya dngn yg sekarang...pemilihan DPR itu yg maju anak nya ketua, ponakan nya ketua, cucunya ketua.....sampe calon presiden, calon gubernur, calon bupati, calon walikota yg tunjuk harus ketua umum partai.....tetep aja rakyat di suruh pilih utusan partai 🤔🤔🤔",2024-12-24T22:10:09,6,52,https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/0788ab84f825bcaf47e0d65758712e3b~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=50195a3b&x-expires=1767996000&x-signature=wdz1g6dqLp1mtRpJ4ypltXgTubM%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my2
7451974645374340369,,ajo_andalas,ajo andalas,vt ini sangat membantu mencerdaskan warga 58%,2024-12-25T00:32:35,341,11,https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/20232c0b0e636a2424cb0e01073141f0~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=ecf487c4&x-expires=1767996000&x-signature=WRCJN6TTBQAVh8srLoBiNMV9%2FXE%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my2
7451974645374340369,,edienzo,𝔼𝕕i 𝔼𝕟𝕫𝕠,"kasian dia,gak kebagian apa apa",2024-12-25T05:28:41,1,48,https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/b142d5b2c6739ecfb783c9cfdc6af3de~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=737c057a&x-expires=1767996000&x-signature=5DeiqRAA0zSlVemm%2FFxh62c2zO0%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my2
7451974645374340369,,maccan_asia,sunan mulia,prabowo 1 periode aja... gak lagi lagi,2024-12-25T15:28:26,41,9,https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/c0320e3f9cdd13d56fe9cb20341a6e7e~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=6c4da2ce&x-expires=1767996000&x-signature=UOwH7gTN2%2BgGp17wXWyAwxzQiKU%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my2
